country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Croatia,Europe,2018,5.536,10.248,68.425,0.691,0.925,4087843
Pakistan,Asia,2016,5.549,8.465,56.075,0.634,0.793,213524840
Belarus,Europe,2017,5.553,9.818,65.55,0.621,0.654,9458989
Mongolia,Asia,2019,5.563,9.43,60.3,0.711,0.873,3232430
Moldova,Europe,2016,5.578,9.3,63.3,0.557,0.969,2803186
Russia,Asia,2017,5.579,10.163,63.45,0.731,0.862,144496739
Philippines,Asia,2017,5.594,8.987,61.95,0.926,0.711,106738501
Dominican Republic,North America,2017,5.605,9.713,63.6,0.855,0.76,10647244
Turkiye,Asia,2017,5.607,10.225,68.05,0.644,0.671,82089826
Mauritius,Africa,2016,5.61,9.968,63.975,0.819,0.891,1263747
Montenegro,Europe,2017,5.615,9.888,66.8,0.626,0.756,622373
Croatia,Europe,2019,5.626,10.287,68.6,0.739,0.932,4065253
Kyrgyzstan,Asia,2017,5.63,8.526,64.75,0.859,0.874,6198200
Libya,Africa,2017,5.647,10.095,64.75,0.779,0.673,6378261
Honduras,North America,2016,5.648,8.573,61.725,0.85,0.793,9460798
Estonia,Europe,2016,5.65,10.374,68.525,0.843,0.639,1315790
Montenegro,Europe,2018,5.65,9.937,66.9,0.626,0.769,622227
Bolivia,South America,2017,5.651,9.017,63,0.884,0.819,11435533
Paraguay,South America,2019,5.653,9.519,65.8,0.876,0.882,6530026
Hong Kong S.A.R. of China,Asia,2019,5.659,10.995,NA,0.727,0.432,7507900
Bolivia,South America,2019,5.674,9.051,63.3,0.881,0.857,11777315
Peru,South America,2018,5.68,9.449,69.325,0.83,0.906,32203944
Moldova,Europe,2018,5.682,9.423,64.1,0.824,0.929,2707203
Kyrgyzstan,Asia,2019,5.685,8.568,65.8,0.92,0.885,6456200
Peru,South America,2016,5.701,9.419,68.975,0.83,0.866,31132779
Peru,South America,2017,5.711,9.429,69.15,0.827,0.895,31605486
Portugal,Europe,2017,5.711,10.406,70.75,0.905,0.881,10300300
Paraguay,South America,2017,5.713,9.518,65.7,0.891,0.81,6355404
Serbia,Europe,2016,5.753,9.692,66.525,0.614,0.89,7058322
Kosovo,Europe,2016,5.759,9.213,NA,0.827,0.941,1777557
Bolivia,South America,2016,5.77,8.991,62.85,0.882,0.853,11263015
Argentina,South America,2018,5.793,10.032,67.05,0.846,0.855,44494502
Japan,Asia,2018,5.794,10.639,73.975,0.773,0.687,126811000
Cyprus,Asia,2016,5.795,10.51,71.8,0.756,0.898,1197881
Paraguay,South America,2016,5.801,9.485,65.65,0.854,0.756,6266615
Moldova,Europe,2019,5.803,9.475,64.5,0.784,0.884,2664224
Ecuador,South America,2019,5.809,9.341,68.5,0.83,0.839,17343740
Nicaragua,North America,2018,5.819,8.637,65.425,0.797,0.713,6572233
Benin,Africa,2018,5.82,8.02,55.2,0.713,0.747,11940683
Belarus,Europe,2019,5.821,9.867,66,0.657,0.546,9419758
Tajikistan,Asia,2017,5.829,8.082,61.7,0.832,0.718,8925525
Pakistan,Asia,2017,5.831,8.495,56.35,0.713,0.714,216379655
Ecuador,South America,2017,5.84,9.366,68,0.879,0.734,16696944
South Korea,Asia,2018,5.84,10.645,72.825,0.6,0.797,51585058
Russia,Asia,2016,5.855,10.146,63.075,0.714,0.925,144342397
Lithuania,Europe,2016,5.866,10.371,65.65,0.614,0.949,2868231
Philippines,Asia,2018,5.869,9.032,61.975,0.918,0.726,108568836
South Korea,Asia,2017,5.874,10.62,72.55,0.538,0.851,51361911
Kazakhstan,Asia,2017,5.882,10.121,64.2,0.745,0.755,18037776
Mauritius,Africa,2018,5.882,10.044,63.925,0.867,0.785,1265577
Bosnia and Herzegovina,Europe,2018,5.887,9.552,67.15,0.659,0.913,3400129
Turkmenistan,Asia,2016,5.887,9.479,61.8,0.749,NA,5868561
Jamaica,North America,2017,5.89,9.209,66.6,0.861,0.883,2808376
Uzbekistan,Asia,2016,5.893,8.804,63.8,0.984,NA,31847900
Latvia,Europe,2018,5.901,10.311,66.1,0.608,0.799,1927174
South Korea,Asia,2019,5.903,10.663,73.1,0.706,0.718,51764822
Honduras,North America,2018,5.908,8.624,62.575,0.872,0.804,9792850
Japan,Asia,2019,5.908,10.638,74.1,0.806,0.617,126633000
Japan,Asia,2017,5.911,10.632,73.85,0.849,0.659,126972000
Bolivia,South America,2018,5.916,9.044,63.15,0.863,0.786,11606905
Portugal,Europe,2018,5.92,10.435,70.875,0.877,0.88,10283822
Honduras,North America,2019,5.93,8.633,63,0.846,0.815,9958829
Hungary,Europe,2018,5.936,10.346,67.05,0.693,0.911,9775564
Serbia,Europe,2018,5.936,9.767,66.775,0.74,0.864,6982604
Slovenia,Europe,2016,5.937,10.459,70.175,0.904,0.838,2065042
Estonia,Europe,2017,5.938,10.429,68.75,0.862,0.668,1317384
Thailand,Asia,2017,5.939,9.741,68.15,0.923,0.884,70898202
Latvia,Europe,2016,5.94,10.222,65.9,0.685,0.868,1959537
Chile,South America,2019,5.942,10.119,70,0.659,0.86,19039485
Kuwait,Asia,2016,5.947,10.887,70.175,0.841,NA,4048085
Greece,Europe,2019,5.952,10.3,70.9,0.614,0.848,10721582
Italy,Europe,2016,5.955,10.617,71.675,0.624,0.903,60627498
Japan,Asia,2016,5.955,10.615,73.725,0.836,0.698,127076000
Romania,Europe,2016,5.969,10.117,66.425,0.822,0.949,19702267
Latvia,Europe,2019,5.97,10.343,66.2,0.698,0.789,1913822
South Korea,Asia,2016,5.971,10.592,72.275,0.591,0.862,51217803
Latvia,Europe,2017,5.978,10.264,66,0.7,0.798,1942248
Colombia,South America,2018,5.984,9.577,68.825,0.851,0.855,49276961
Slovakia,Europe,2016,5.993,10.284,67.825,0.7,0.917,5430798
Peru,South America,2019,5.999,9.452,69.5,0.815,0.874,32824861
Hungary,Europe,2019,6,10.394,67.2,0.798,0.884,9771141
Dominican Republic,North America,2019,6.004,9.808,64,0.877,0.746,10881882
Kazakhstan,Asia,2018,6.008,10.148,64.6,0.84,0.824,18276452
Thailand,Asia,2018,6.012,9.78,68.225,0.905,0.907,71127802
Nicaragua,North America,2016,6.013,8.654,65.275,0.717,0.731,6389235
